Opportunity_Business_ID,Opportunity_Business_Name,Opportunity_Business_Line_ID,Opportunity_Business_Line_Group_ID,Province
GeVe0308,GeoVentures,Venture Capital,Investment,British Columbia
CrCo0309,CreativeSolutions,Compliance,Legal,British Columbia
GlLo0310,GlobalDynamics,Loans,Finance,Alberta
InVe0311,InnovativeVentures,Venture Capital,Investment,Ontario
CrVe0312,CreativeVentures,Venture Capital,Investment,Quebec
WeAn0313,WebAnalytics,Analytics,Technology,Northwest Territories
CrTr0314,CreativeTechnology,Treasury,Finance,Quebec
SeAs0315,SecureServices,Asset Management,Investment,Ontario
InAn0316,InnovativeAnalytics,Analytics,Technology,Nunavut
GlMo0317,GlobalSolutions,Mortgages,Banking,Ontario
TeAn0318,TechAnalytics,Analytics,Technology,Quebec
TeIn0319,TechSystems,Insurance,Risk Management,Yukon
DaAn0320,DataAnalytics,Analytics,Technology,Ontario
InAn0321,InfoAnalytics,Analytics,Technology,Quebec
SeEq0322,SecureSystems,Equity,Finance,Prince Edward Island
InAn0323,InnovativeAnalytics,Analytics,Technology,Nunavut
SeEq0324,SecureSystems,Equity,Finance,Prince Edward Island
GlCr0325,GlobalTechnology,Credit,Finance,Northwest Territories
GlCr0326,GlobalTechnology,Credit,Finance,Northwest Territories
InCo0327,InnovativeConcepts,Compliance,Legal,Ontario
InAs0328,InnovativeTechnology,Asset Management,Investment,British Columbia
GeVe0329,GeoVentures,Venture Capital,Investment,British Columbia
WeDe0330,WebTechnology,Deposits,Banking,Ontario
BiBi0331,BioSolutions,Biotechnology,Healthcare,British Columbia
BiBi0332,BioDynamics,Biotechnology,Healthcare,British Columbia
InCo0333,InnovativeConcepts,Compliance,Legal,Ontario
InVe0334,InnovativeVentures,Venture Capital,Investment,Ontario
NeAs0335,NetSolutions,Asset Management,Investment,Ontario
WeIn0336,WebDynamics,Insurance,Risk Management,Quebec
GeEq0337,GeoConcepts,Equity,Finance,Prince Edward Island
WeIn0338,WebDynamics,Insurance,Risk Management,Quebec
TeDe0339,TechDynamics,Deposits,Banking,Yukon
TeLo0340,TechSolutions,Loans,Finance,British Columbia
InAs0341,InfoSystems,Asset Management,Investment,British Columbia
GeLo0342,GeoHoldings,Loans,Finance,Quebec
NeAn0343,NetAnalytics,Analytics,Technology,Ontario
GeVe0344,GeoVentures,Venture Capital,Investment,British Columbia
DaAs0345,DataHoldings,Asset Management,Investment,Quebec
CrLo0346,CreativeServices,Loans,Finance,British Columbia
TeWe0347,TechServices,Wealth Management,Investment,Northwest Territories
WeVe0348,WebVentures,Venture Capital,Investment,Quebec
WeIn0349,WebHoldings,Insurance,Risk Management,Manitoba
SeAn0350,SecureAnalytics,Analytics,Technology,Alberta
SmEq0351,SmartSolutions,Equity,Finance,Ontario
GeLo0352,GeoHoldings,Loans,Finance,Quebec
CrTr0353,CreativeHoldings,Treasury,Finance,British Columbia
GeAn0354,GeoAnalytics,Analytics,Technology,Quebec
InCr0355,InnovativeSolutions,Credit,Finance,Newfoundland and Labrador
CrTr0356,CreativeHoldings,Treasury,Finance,British Columbia
SeVe0357,SecureVentures,Venture Capital,Investment,Ontario
InEq0358,InfoConcepts,Equity,Finance,British Columbia
CrTr0359,CreativeHoldings,Treasury,Finance,British Columbia
WeIn0360,WebHoldings,Insurance,Risk Management,Manitoba
GeVe0361,GeoVentures,Venture Capital,Investment,British Columbia
BiBi0362,BioVentures,Biotechnology,Healthcare,Ontario
InAn0363,InfoAnalytics,Analytics,Technology,Quebec
TeTr0364,TechTechnology,Treasury,Finance,British Columbia
SmVe0365,SmartVentures,Venture Capital,Investment,Quebec
InAs0366,InnovativeDynamics,Asset Management,Investment,British Columbia
CrAn0367,CreativeAnalytics,Analytics,Technology,Ontario
GeCo0368,GeoTechnology,Compliance,Legal,Ontario
GlMo0369,GlobalSolutions,Mortgages,Banking,Ontario
SeAn0370,SecureAnalytics,Analytics,Technology,Alberta
InAn0371,InnovativeAnalytics,Analytics,Technology,Nunavut
GeCr0372,GeoSolutions,Credit,Finance,Ontario
GeTr0373,GeoServices,Treasury,Finance,Quebec
NeAs0374,NetSolutions,Asset Management,Investment,Ontario
GlMo0375,GlobalSolutions,Mortgages,Banking,Ontario
InCr0376,InfoTechnology,Credit,Finance,Ontario
DaWe0377,DataConcepts,Wealth Management,Investment,British Columbia
BiBi0378,BioDynamics,Biotechnology,Healthcare,British Columbia
NeWe0379,NetHoldings,Wealth Management,Investment,Quebec
NeAn0380,NetAnalytics,Analytics,Technology,Ontario
TeIn0381,TechSystems,Insurance,Risk Management,Yukon
WeIn0382,WebHoldings,Insurance,Risk Management,Manitoba
BiBi0383,BioSolutions,Biotechnology,Healthcare,British Columbia
SeAs0384,SecureServices,Asset Management,Investment,Ontario
SmAn0385,SmartAnalytics,Analytics,Technology,Ontario
BiBi0386,BioSolutions,Biotechnology,Healthcare,British Columbia
BiBi0387,BioServices,Biotechnology,Healthcare,British Columbia
SmLo0388,SmartTechnology,Loans,Finance,British Columbia
BiBi0389,BioSystems,Biotechnology,Healthcare,Quebec
TeVe0390,TechVentures,Venture Capital,Investment,Ontario
SmVe0391,SmartVentures,Venture Capital,Investment,Quebec
WeAn0392,WebAnalytics,Analytics,Technology,Northwest Territories
SmCr0393,SmartHoldings,Credit,Finance,British Columbia
SeCo0394,SecureDynamics,Compliance,Legal,British Columbia
BiBi0395,BioTechnology,Biotechnology,Healthcare,Ontario
BiBi0396,BioVentures,Biotechnology,Healthcare,Ontario
DaAs0397,DataHoldings,Asset Management,Investment,Quebec
CrLo0398,CreativeServices,Loans,Finance,British Columbia
InCr0399,InnovativeSolutions,Credit,Finance,Newfoundland and Labrador
InCr0400,InfoSolutions,Credit,Finance,Ontario
DaWe0401,DataConcepts,Wealth Management,Investment,British Columbia
CrAn0402,CreativeAnalytics,Analytics,Technology,Ontario
NeWe0403,NetDynamics,Wealth Management,Investment,Quebec
TeDe0404,TechDynamics,Deposits,Banking,Yukon
CrCo0405,CreativeDynamics,Compliance,Legal,Ontario
BiBi0406,BioConcepts,Biotechnology,Healthcare,British Columbia
InVe0407,InnovativeVentures,Venture Capital,Investment,Ontario
BiBi0408,BioConcepts,Biotechnology,Healthcare,British Columbia
InAs0409,InnovativeTechnology,Asset Management,Investment,British Columbia
SmTr0410,SmartDynamics,Treasury,Finance,Ontario
GeAn0411,GeoAnalytics,Analytics,Technology,Quebec
CrVe0412,CreativeVentures,Venture Capital,Investment,Quebec
GeLo0413,GeoHoldings,Loans,Finance,Quebec
GeWe0414,GeoSystems,Wealth Management,Investment,British Columbia
InAn0415,InfoAnalytics,Analytics,Technology,Quebec
SeTr0416,SecureHoldings,Treasury,Finance,Ontario
NeEq0417,NetServices,Equity,Finance,Northwest Territories
InAs0418,InnovativeTechnology,Asset Management,Investment,British Columbia
TeAn0419,TechAnalytics,Analytics,Technology,Quebec
TeTr0420,TechTechnology,Treasury,Finance,British Columbia
TeDe0421,TechHoldings,Deposits,Banking,Quebec
DaDe0422,DataSystems,Deposits,Banking,British Columbia
InAs0423,InnovativeTechnology,Asset Management,Investment,British Columbia
GlCr0424,GlobalSystems,Credit,Finance,Quebec
NeEq0425,NetServices,Equity,Finance,Northwest Territories
DaCo0426,DataDynamics,Compliance,Legal,Ontario
NeWe0427,NetDynamics,Wealth Management,Investment,Quebec
TeIn0428,TechSystems,Insurance,Risk Management,Yukon
SeAn0429,SecureAnalytics,Analytics,Technology,Alberta
GeVe0430,GeoVentures,Venture Capital,Investment,British Columbia
InDe0431,InnovativeHoldings,Deposits,Banking,Quebec
BiBi0432,BioTechnology,Biotechnology,Healthcare,Ontario
WeTr0433,WebSolutions,Treasury,Finance,Quebec
CrLo0434,CreativeServices,Loans,Finance,British Columbia
SeAs0435,SecureServices,Asset Management,Investment,Ontario
SmLo0436,SmartTechnology,Loans,Finance,British Columbia
WeWe0437,WebServices,Wealth Management,Investment,Ontario
CrAn0438,CreativeAnalytics,Analytics,Technology,Ontario
InMo0439,InfoServices,Mortgages,Banking,Quebec
SeEq0440,SecureSystems,Equity,Finance,Prince Edward Island
DaLo0441,DataTechnology,Loans,Finance,Manitoba
DaVe0442,DataVentures,Venture Capital,Investment,Ontario
SmEq0443,SmartSolutions,Equity,Finance,Ontario
SmEq0444,SmartSolutions,Equity,Finance,Ontario
SeCo0445,SecureTechnology,Compliance,Legal,Ontario
InVe0446,InfoVentures,Venture Capital,Investment,Alberta
CrAn0447,CreativeAnalytics,Analytics,Technology,Ontario
GlCr0448,GlobalTechnology,Credit,Finance,Northwest Territories
WeCr0449,WebSystems,Credit,Finance,British Columbia
InEq0450,InfoConcepts,Equity,Finance,British Columbia
GeCr0451,GeoSolutions,Credit,Finance,Ontario
DaCo0452,DataDynamics,Compliance,Legal,Ontario
NeAn0453,NetAnalytics,Analytics,Technology,Ontario
InVe0454,InnovativeVentures,Venture Capital,Investment,Ontario
GlAn0455,GlobalAnalytics,Analytics,Technology,Ontario
TeDe0456,TechDynamics,Deposits,Banking,Yukon
WeDe0457,WebTechnology,Deposits,Banking,Ontario
InCr0458,InnovativeSolutions,Credit,Finance,Newfoundland and Labrador
InAs0459,InfoSystems,Asset Management,Investment,British Columbia
InAs0460,InnovativeDynamics,Asset Management,Investment,British Columbia
SmTr0461,SmartDynamics,Treasury,Finance,Ontario
DaDe0462,DataSystems,Deposits,Banking,British Columbia
DaAs0463,DataHoldings,Asset Management,Investment,Quebec
WeWe0464,WebServices,Wealth Management,Investment,Ontario
GeEq0465,GeoDynamics,Equity,Finance,Ontario
WeVe0466,WebVentures,Venture Capital,Investment,Quebec
SeAn0467,SecureAnalytics,Analytics,Technology,Alberta
InVe0468,InfoVentures,Venture Capital,Investment,Alberta
InVe0469,InfoVentures,Venture Capital,Investment,Alberta
SeAn0470,SecureAnalytics,Analytics,Technology,Alberta
WeIn0471,WebDynamics,Insurance,Risk Management,Quebec
BiBi0472,BioTechnology,Biotechnology,Healthcare,Ontario
SeCo0473,SecureTechnology,Compliance,Legal,Ontario
InCr0474,InnovativeSolutions,Credit,Finance,Newfoundland and Labrador
NeCr0475,NetTechnology,Credit,Finance,British Columbia
BiAn0476,BioAnalytics,Analytics,Technology,Ontario
WeCr0477,WebSystems,Credit,Finance,British Columbia
SmCr0478,SmartServices,Credit,Finance,Ontario
NeCr0479,NetTechnology,Credit,Finance,British Columbia
GlAn0480,GlobalAnalytics,Analytics,Technology,Ontario
GeAn0481,GeoAnalytics,Analytics,Technology,Quebec
NeAs0482,NetSolutions,Asset Management,Investment,Ontario
SmLo0483,SmartTechnology,Loans,Finance,British Columbia
GlLo0484,GlobalServices,Loans,Finance,Quebec
DaWe0485,DataConcepts,Wealth Management,Investment,British Columbia
NeWe0486,NetDynamics,Wealth Management,Investment,Quebec
InCr0487,InfoSolutions,Credit,Finance,Ontario
GeTr0488,GeoServices,Treasury,Finance,Quebec
DaAs0489,DataSolutions,Asset Management,Investment,Nunavut
DaVe0490,DataVentures,Venture Capital,Investment,Ontario
BiAn0491,BioAnalytics,Analytics,Technology,Ontario
GeEq0492,GeoDynamics,Equity,Finance,Ontario
WeDe0493,WebTechnology,Deposits,Banking,Ontario
InEq0494,InfoConcepts,Equity,Finance,British Columbia
CrC0495,CreativeConcepts,Compliance,Legal,Nunavut
GlCr0496,GlobalSystems,Credit,Finance,Quebec
SeVe0497,SecureVentures,Venture Capital,Investment,Ontario
GlCr0498,GlobalSystems,Credit,Finance,Quebec
GlAn0499,GlobalAnalytics,Analytics,Technology,Ontario
WeIn0500,WebDynamics,Insurance,Risk Management,Quebec
GlAn0501,GlobalAnalytics,Analytics,Technology,Ontario
DaCo0502,DataServices,Compliance,Legal,Ontario
GeTr0503,GeoServices,Treasury,Finance,Quebec
TeLo0504,TechSolutions,Loans,Finance,British Columbia
InEq0505,InfoConcepts,Equity,Finance,British Columbia
SmCr0506,SmartServices,Credit,Finance,Ontario
WeDe0507,WebTechnology,Deposits,Banking,Ontario
SmLo0508,SmartTechnology,Loans,Finance,British Columbia
WeIn0509,WebHoldings,Insurance,Risk Management,Manitoba
GlVe0510,GlobalVentures,Venture Capital,Investment,Alberta
InEq0511,InfoConcepts,Equity,Finance,British Columbia
SmAs0512,SmartConcepts,Asset Management,Investment,Ontario
DaAs0513,DataSolutions,Asset Management,Investment,Nunavut
WeIn0514,WebHoldings,Insurance,Risk Management,Manitoba
GeEq0515,GeoDynamics,Equity,Finance,Ontario
TeVe0516,TechVentures,Venture Capital,Investment,Ontario
SmVe0517,SmartVentures,Venture Capital,Investment,Quebec
TeMo0518,TechConcepts,Mortgages,Banking,Ontario
BiBi0519,BioServices,Biotechnology,Healthcare,British Columbia
SeTr0520,SecureHoldings,Treasury,Finance,Ontario
CrTr0521,CreativeSystems,Treasury,Finance,Quebec
TeWe0522,TechServices,Wealth Management,Investment,Northwest Territories
DaVe0523,DataVentures,Venture Capital,Investment,Ontario
BiBi0524,BioVentures,Biotechnology,Healthcare,Ontario
GlCr0525,GlobalTechnology,Credit,Finance,Northwest Territories
SmTr0526,SmartDynamics,Treasury,Finance,Ontario
CrCo0527,CreativeDynamics,Compliance,Legal,Ontario
InIn0528,InnovativeServices,Insurance,Risk Management,Ontario
NeEq0529,NetConcepts,Equity,Finance,Ontario
SmAn0530,SmartAnalytics,Analytics,Technology,Ontario
InVe0531,InfoVentures,Venture Capital,Investment,Alberta
BiBi0532,BioServices,Biotechnology,Healthcare,British Columbia
BiBi0533,BioDynamics,Biotechnology,Healthcare,British Columbia
SmAs0534,SmartConcepts,Asset Management,Investment,Ontario
GeCo0535,GeoTechnology,Compliance,Legal,Ontario
WeTr0536,WebConcepts,Treasury,Finance,Ontario
GlCo0537,GlobalHoldings,Compliance,Legal,Quebec
GeTr0538,GeoServices,Treasury,Finance,Quebec
InDe0539,InnovativeHoldings,Deposits,Banking,Quebec
InEq0540,InfoConcepts,Equity,Finance,British Columbia
CrLo0541,CreativeServices,Loans,Finance,British Columbia
GeAn0542,GeoAnalytics,Analytics,Technology,Quebec
GlCr0543,GlobalConcepts,Credit,Finance,Ontario
GeAn0544,GeoAnalytics,Analytics,Technology,Quebec
InCr0545,InnovativeSolutions,Credit,Finance,Newfoundland and Labrador
InCr0546,InnovativeSolutions,Credit,Finance,Newfoundland and Labrador
DaWe0547,DataConcepts,Wealth Management,Investment,British Columbia
DaVe0548,DataVentures,Venture Capital,Investment,Ontario
SeIn0549,SecureConcepts,Insurance,Risk Management,Ontario
GeWe0550,GeoSystems,Wealth Management,Investment,British Columbia
WeAn0551,WebAnalytics,Analytics,Technology,Northwest Territories
BiBi0552,BioTechnology,Biotechnology,Healthcare,Ontario
DaVe0553,DataVentures,Venture Capital,Investment,Ontario
TeMo0554,TechConcepts,Mortgages,Banking,Ontario
TeLo0555,TechSolutions,Loans,Finance,British Columbia
SeVe0556,SecureVentures,Venture Capital,Investment,Ontario
NeAs0557,NetSolutions,Asset Management,Investment,Ontario
CrAn0558,CreativeAnalytics,Analytics,Technology,Ontario
CrTr0559,CreativeSystems,Treasury,Finance,Quebec
WeIn0560,WebHoldings,Insurance,Risk Management,Manitoba
NeWe0561,NetDynamics,Wealth Management,Investment,Quebec
BiAn0562,BioAnalytics,Analytics,Technology,Ontario
BiBi0563,BioDynamics,Biotechnology,Healthcare,British Columbia
CrAn0564,CreativeAnalytics,Analytics,Technology,Ontario
CrLo0565,CreativeServices,Loans,Finance,British Columbia
NeWe0566,NetHoldings,Wealth Management,Investment,Quebec
WeIn0567,WebHoldings,Insurance,Risk Management,Manitoba
InIn0568,InfoDynamics,Insurance,Risk Management,British Columbia
SmTr0569,SmartDynamics,Treasury,Finance,Ontario
CrCo0570,CreativeSolutions,Compliance,Legal,British Columbia
InMo0571,InfoServices,Mortgages,Banking,Quebec
InAs0572,InnovativeDynamics,Asset Management,Investment,British Columbia
NeLo0573,NetSystems,Loans,Finance,New Brunswick
InVe0574,InfoVentures,Venture Capital,Investment,Alberta
NeLo0575,NetSystems,Loans,Finance,New Brunswick
GlVe0576,GlobalVentures,Venture Capital,Investment,Alberta
DaDe0577,DataSystems,Deposits,Banking,British Columbia
BiBi0578,BioSystems,Biotechnology,Healthcare,Quebec
CrTr0579,CreativeSystems,Treasury,Finance,Quebec
GeWe0580,GeoSystems,Wealth Management,Investment,British Columbia
SmAs0581,SmartConcepts,Asset Management,Investment,Ontario
GlCr0582,GlobalTechnology,Credit,Finance,Northwest Territories
TeAn0583,TechAnalytics,Analytics,Technology,Quebec
CrCo0584,CreativeDynamics,Compliance,Legal,Ontario
GeAn0585,GeoAnalytics,Analytics,Technology,Quebec
CrLo0586,CreativeServices,Loans,Finance,British Columbia
TeWe0587,TechServices,Wealth Management,Investment,Northwest Territories
InCr0588,InfoSolutions,Credit,Finance,Ontario
GlAn0589,GlobalAnalytics,Analytics,Technology,Ontario
InVe0590,InnovativeVentures,Venture Capital,Investment,Ontario
CrAn0591,CreativeAnalytics,Analytics,Technology,Ontario
InAs0592,InnovativeDynamics,Asset Management,Investment,British Columbia
GeCo0593,GeoTechnology,Compliance,Legal,Ontario
GlCr0594,GlobalConcepts,Credit,Finance,Ontario
DaCo0595,DataServices,Compliance,Legal,Ontario
GlCr0596,GlobalSystems,Credit,Finance,Quebec
BiBi0597,BioSystems,Biotechnology,Healthcare,Quebec
SmAs0598,SmartConcepts,Asset Management,Investment,Ontario
CrTr0599,CreativeTechnology,Treasury,Finance,Quebec
WeWe0600,WebServices,Wealth Management,Investment,Ontario
SeLo0601,SecureSolutions,Loans,Finance,Ontario
TeDe0602,TechHoldings,Deposits,Banking,Quebec
WeTr0603,WebConcepts,Treasury,Finance,Ontario
InEq0604,InfoConcepts,Equity,Finance,British Columbia
SeAn0605,SecureAnalytics,Analytics,Technology,Alberta
NeEq0606,NetConcepts,Equity,Finance,Ontario
WeWe0607,WebServices,Wealth Management,Investment,Ontario
SeAs0608,SecureServices,Asset Management,Investment,Ontario
WeIn0609,WebHoldings,Insurance,Risk Management,Manitoba
SeCo0610,SecureDynamics,Compliance,Legal,British Columbia
InIn0611,InfoDynamics,Insurance,Risk Management,British Columbia
GeCr0612,GeoSolutions,Credit,Finance,Ontario
NeVe0613,NetVentures,Venture Capital,Investment,Quebec